Platzierung,Name,Link
1,Standorte der Give-Boxen und öffentlichen Bücherregale    ,https://opendata.stadt-muenster.de/dataset/standorte-der-give-boxen-und-%C3%B6ffentlichen-b%C3%BCcherregale
2,Trinkwasseranalyse der Stadtwerke Münster,https://opendata.stadt-muenster.de/dataset/trinkwasseranalyse-der-stadtwerke-m%C3%BCnster
3,ÖPNV - Netzpläne der Buslinien Münster    ,https://opendata.stadt-muenster.de/dataset/%C3%B6pnv-netzpl%C3%A4ne-der-buslinien-m%C3%BCnster
4,Entsorgungskalender der Abfallwirtschaftsbetriebe Münster (AWM) ,https://opendata.stadt-muenster.de/dataset/entsorgungskalender-2023-der-abfallwirtschaftsbetriebe-m%C3%BCnster-awm
5,Stillplätze & Wickelräume    ,https://opendata.stadt-muenster.de/dataset/stillpl%C3%A4tze-wickelr%C3%A4ume-2023
6,Standorte der Glascontainer ,https://opendata.stadt-muenster.de/dataset/standorte-der-glascontainer
7,Grundstücksmarktbericht 2022 für Münster,https://opendata.stadt-muenster.de/dataset/grundst%C3%BCcksmarktbericht-2022-f%C3%BCr-m%C3%BCnster
8,Geokoordinaten der Flurstücke bzw. Grundstücksgrenzen,https://opendata.stadt-muenster.de/dataset/geokoordinaten-der-flurst%C3%BCcke-bzw-grundst%C3%BCcksgrenzen
9,Geokoordinaten der Stadtteil-Grenzen / Geometriedaten der Kleinräumigen Gebietsgliederung    ,https://opendata.stadt-muenster.de/dataset/geokoordinaten-der-stadtteil-grenzen-geometriedaten-der-kleinr%C3%A4umigen-gebietsgliederung
10,Gebäudeumrisse    ,https://opendata.stadt-muenster.de/dataset/geb%C3%A4udeumrisse
11,Umriss des Innenstadtbereichs mit Maskenpflicht,https://opendata.stadt-muenster.de/dataset/umriss-des-innenstadtbereichs-mit-maskenpflicht-stand-21122021
12,Zwischenbericht Bestandsanalyse Masterplan Mobilität Münster 2035+    ,https://opendata.stadt-muenster.de/dataset/zwischenbericht-bestandsanalyse-masterplan-mobilit%C3%A4t-m%C3%BCnster-2035
13,Solarkataster Münster - Solarpotenzial,https://opendata.stadt-muenster.de/dataset/solarkataster-m%C3%BCnster-solarpotenzial
14,Aktuelle Coronazahlen Münster pro Stadtteil und Altersgruppe    ,https://opendata.stadt-muenster.de/dataset/aktuelle-coronazahlen-m%C3%BCnster-pro-stadtteil-und-altersgruppe
